main_genre,intensity_weighted_mean,intensity_weighted_median,intensity_weighted_std,intensity_weighted_min,intensity_weighted_max,energy_mean,energy_std,loudness_mean,loudness_std,track_id_count,danceability_mean,tempo_mean,tempo_std
Classical,0.3959,0.3238,0.2155,0.0262,0.9858,0.2218,0.2758,-20.5725,8.488,18259,0.3352437373350129,107.69517733720357,32.81311961422088
Country,0.672,0.6847,0.1638,0.15,0.9848,0.5505,0.2361,-8.7508,3.9795,34049,0.5500659079561808,121.02742538694235,29.64639742404781
Electronic,0.7964,0.8176,0.1181,0.1529,0.9974,0.7534,0.1732,-8.3464,3.2749,100239,0.6793705703368949,127.73678613114656,15.533919844471418
Hip-Hop,0.7584,0.7638,0.1024,0.3063,0.9843,0.6713,0.1514,-6.6602,2.4527,15698,0.7118501719964326,119.60112530258633,30.98127861220586
Jazz,0.6658,0.6821,0.178,0.1118,0.9984,0.5508,0.2533,-9.6995,4.7117,35592,0.5484171611598111,117.38492666891436,30.745756252759005
Latin,0.7918,0.8132,0.1069,0.2774,0.9868,0.7274,0.1538,-6.6916,2.9368,17488,0.6770836573650503,117.30488357731015,31.025989904284142
Other,0.701,0.7422,0.2023,0.0136,0.9998,0.6081,0.2805,-9.581,6.1567,740993,0.5336529961821501,120.19418066702384,30.79293678611582
Pop,0.7365,0.7499,0.1464,0.2179,0.9965,0.6439,0.2159,-7.4784,3.2929,86082,0.5606492820798774,122.76239003508283,29.14812456589673
R&B,0.6803,0.684,0.1205,0.2694,0.9741,0.5563,0.1778,-8.0267,2.8603,8974,0.627582349008246,115.37891352796969,29.95811118893095
Rock,0.8297,0.8859,0.1438,0.1333,0.9992,0.7899,0.2113,-6.6364,3.3029,141746,0.42148150706192766,125.48315168682008,29.844101438157498
